epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0483,1.83276,3.25526,1.83795,0.00329,0.6875,0.11454,0.03698,1.91222,3.50362,1.80672,0.00021671,0.00021671,0.00021671
2,27.0805,1.67318,3.023,1.75127,0.00416,0.8125,0.11167,0.04028,1.66757,3.3922,1.57707,0.000435237,0.000435237,0.000435237
3,39.9025,1.49982,2.70207,1.66152,0.62165,0.125,0.25811,0.12292,2.3517,3.16957,2.18946,0.000638361,0.000638361,0.000638361
4,52.8215,1.66246,2.57908,1.72794,0.45094,0.3125,0.23484,0.08468,2.17342,3.13211,2.06723,0.000826082,0.000826082,0.000826082
5,65.948,1.57032,2.42248,1.65208,0.10559,0.25,0.12477,0.05402,1.96525,3.21733,1.87824,0.0009984,0.0009984,0.0009984
6,78.9381,1.5294,2.54924,1.68773,0.22439,0.25,0.13122,0.05612,2.15295,3.19498,1.92736,0.00115531,0.00115531,0.00115531
7,91.7712,1.52138,2.47774,1.58719,0.23454,0.22859,0.15117,0.06868,1.92878,3.08376,1.74599,0.00129683,0.00129683,0.00129683
8,104.767,1.52634,2.40917,1.60942,0.40588,0.1875,0.16723,0.10351,1.96295,2.99718,1.80796,0.00128192,0.00128192,0.00128192
9,117.624,1.51136,2.29835,1.60054,0.31946,0.1875,0.16075,0.08451,2.19586,3.13012,1.95645,0.00122691,0.00122691,0.00122691
10,130.853,1.47685,2.22049,1.56882,0.36282,0.3125,0.19708,0.08998,2.22398,3.09978,1.95395,0.0011719,0.0011719,0.0011719
11,147.421,1.52541,2.34388,1.52797,0.24284,0.375,0.19967,0.11935,2.19289,3.38912,1.89451,0.00111689,0.00111689,0.00111689
12,171.533,1.53271,2.1124,1.57101,0.31788,0.48871,0.19687,0.11031,1.98714,4.16202,1.83183,0.00106188,0.00106188,0.00106188
13,183.973,1.45424,2.08136,1.49249,0.25961,0.52047,0.26205,0.15995,1.8248,3.74981,1.72375,0.00100687,0.00100687,0.00100687
14,197.419,1.4002,1.94925,1.42471,0.25961,0.52047,0.26205,0.15995,1.8248,3.74981,1.72375,0.000951857,0.000951857,0.000951857
15,210.987,1.33313,2.03542,1.40598,0.27818,0.375,0.21159,0.15107,1.76258,3.32126,1.68533,0.000896846,0.000896846,0.000896846
16,224.164,1.32866,1.96725,1.37791,0.28069,0.375,0.21131,0.1565,1.82656,3.18557,1.73846,0.000841835,0.000841835,0.000841835
17,237.605,1.33515,1.88037,1.37851,0.20322,0.44948,0.20881,0.12323,1.75384,3.11664,1.68516,0.000786824,0.000786824,0.000786824
18,251.222,1.26041,1.86627,1.3613,0.18254,0.34978,0.20617,0.11683,1.76573,2.84915,1.68109,0.000731813,0.000731813,0.000731813
19,264.777,1.35966,1.78436,1.37587,0.23067,0.25,0.18599,0.10696,1.77926,2.90681,1.71804,0.000676802,0.000676802,0.000676802
20,278.711,1.23015,1.73631,1.36986,0.26514,0.25,0.1778,0.11552,1.61877,2.88306,1.65509,0.000621791,0.000621791,0.000621791
21,294.011,1.22581,1.91082,1.33663,0.31282,0.25,0.15155,0.09435,1.50494,2.93947,1.60965,0.00056678,0.00056678,0.00056678
22,307.649,1.01274,1.71823,1.23898,0.31282,0.25,0.15155,0.09435,1.50494,2.93947,1.60965,0.000511769,0.000511769,0.000511769
23,321.597,1.08818,1.65767,1.2301,0.56987,0.23535,0.20783,0.13891,1.48381,3.03462,1.58224,0.000456758,0.000456758,0.000456758
24,335.665,1.04924,1.73399,1.21116,0.23485,0.25,0.17071,0.11249,1.48859,2.96572,1.57899,0.000401747,0.000401747,0.000401747
25,350.697,1.02849,1.52358,1.22091,0.37294,0.24932,0.18656,0.11894,1.53122,2.98635,1.62323,0.000346736,0.000346736,0.000346736
26,365.249,0.92698,1.54029,1.12746,0.23557,0.25,0.14292,0.09516,1.39235,2.81872,1.51638,0.000291725,0.000291725,0.000291725
27,379.698,1.00299,1.55356,1.18959,0.22348,0.24191,0.17464,0.12191,1.37687,2.77493,1.51277,0.000236714,0.000236714,0.000236714
28,395.372,1.02612,1.61013,1.21263,0.25555,0.25,0.17082,0.11711,1.39035,2.69707,1.49997,0.000181703,0.000181703,0.000181703
29,409.494,0.87911,1.3539,1.10525,0.31864,0.24415,0.17944,0.12346,1.40047,2.71495,1.49838,0.000126692,0.000126692,0.000126692
30,422.974,0.95719,1.44102,1.12077,0.31864,0.24415,0.17944,0.12346,1.40047,2.71495,1.49838,7.1681e-05,7.1681e-05,7.1681e-05
