epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.279,2.02557,4.15185,2.19653,0.47435,0.0625,0.08476,0.04702,2.19102,4.42239,2.31473,5.001e-05,5.001e-05,5.001e-05
2,454.112,1.82716,2.9637,1.98042,0.27245,0.4375,0.25246,0.11303,2.22949,3.75131,2.33496,0.000110914,0.000110914,0.000110914
3,721.498,1.39686,2.21074,1.67432,0.47839,0.3045,0.30986,0.182,1.80598,4.14723,2.19625,0.000165216,0.000165216,0.000165216
4,973.161,1.4118,1.98559,1.61432,0.23391,0.375,0.23383,0.15084,1.66522,4.63619,1.9084,0.000212918,0.000212918,0.000212918
5,1226.67,1.29156,1.78785,1.50591,0.28879,0.25,0.18576,0.08599,1.764,3.64471,1.9467,0.000254017,0.000254017,0.000254017
